"","ID","HH_ID","PERSON_NUM","PERSON_ID","HH_WEIGHT","P_WEIGHT","TOUR_NUM","WKSUB_NUM","WKSUB_ID","TRIP_NUM","TRIP_ID","RECORD_ID","NOGO","WHYNO","TOUR_TYPE","TOUR_STOPS","START_TRAV","O_LOC_TYPE","O_GEO_ACC","O_STATE","O_REGION","O_COUNTY","O_CPA","O_MCD","O_TRACT","O_TAZ","ARRIVE","ACTIV1","ACTIV2","ACTIV3","ACTIV4","ACT_DUR1","ACT_DUR2","ACT_DUR3","ACT_DUR4","DEPART","MODE","MODE_AGG","PARTY","HH_MEM","HH_PER_NUM1","HH_PER_NUM2","HH_PER_NUM3","HH_PER_NUM4","HH_PER_NUM5","HH_PER_NUM6","DRVER","VEH_NUM","USE_TOLL","TOLL_RD1","TOLL_RD2","TOLL_RD3","TOLL_RD4","TOLL_RD5","TOLL_B1","TOLL_B2","TOLL_B3","TOLL_B4","TOLL_B5","TOLL_B6","TOLL_B7","TOLL_B8","TOLL_B9","PARK_AT","PARK_TRAV","PARK_PAY","PARK_COST","PARK_UNIT","D_LOC_TYPE","D_GEO_ACC","D_STATE","D_REGION","D_COUNTY","D_CPA","D_MCD","D_TRACT","D_TAZ","TripFactor","Survey_TravTime","Model_TravTime","Model_TravDist","CompositeWeight"
"21",1601,114934,2,11493402,213.7295021,113.7275455,1,NA,1.14934e+11,3,1.14934e+13,1149340203,NA,NA,1,NA,NA,4,1,42,1,42101,"101_110",4210160000,42101036900,1020,"18:37",19,NA,NA,NA,"0:05","","","","18:42",23,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000500,74,1.17,12,14.850566,1.999399,133.0612283
"22",1602,114934,2,11493402,213.7295021,113.7275455,1,NA,1.14934e+11,4,1.14934e+13,1149340204,NA,NA,1,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000500,74,"18:54",19,NA,NA,NA,"0:06","","","","19:00",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_112",4210160000,42101002900,834,1.17,8,12.638667,1.796862,133.0612283
"23",1614,115014,1,11501401,191.4884327,96.92038715,1,NA,1.15014e+11,2,1.15014e+13,1150140102,NA,NA,1,NA,NA,4,1,42,1,42101,"101_112",4210160000,42101002900,834,"6:50",19,NA,NA,NA,"0:03","","","","6:53",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000700,59,1.12,7,11.779301,1.611714,108.5508336
"24",1621,115014,1,11501401,191.4884327,96.92038715,1,NA,1.15014e+11,9,1.15014e+13,1150140109,NA,NA,1,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000901,41,"17:35",19,NA,NA,NA,"0:11","","","","17:46",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,42,1,42101,"101_112",4210160000,42101002900,834,1.12,9,12.628112,1.53922,108.5508336
"25",1627,115014,2,11501402,191.4884327,100.3896759,2,NA,1.15014e+11,5,1.15014e+13,1150140205,NA,NA,2,1,NA,1,1,42,1,42101,"101_112",4210160000,42101002900,834,"13:13",1,2,7,NA,"3:30","0:30","1:00","","18:13",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101001800,5,1.12,17,11.918324,1.022542,112.436437
"26",1628,115014,2,11501402,191.4884327,100.3896759,2,NA,1.15014e+11,6,1.15014e+13,1150140206,NA,NA,2,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101001800,5,"18:30",13,NA,NA,NA,"2:45","","","","21:15",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,42,1,42101,"101_112",4210160000,42101002900,834,1.12,15,11.926381,0.969401,112.436437
"27",1634,115288,2,11528802,202.8848881,408.3766311,1,NA,1.15288e+11,2,1.15288e+13,1152880202,NA,NA,3,NA,NA,4,1,42,1,42101,"101_112",4210160000,42101004001,819,"3:45",19,NA,NA,NA,"0:18","","","","4:03",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000500,74,1.17,15,14.632857,2.230739,477.8006584
"28",1635,115288,2,11528802,202.8848881,408.3766311,1,NA,1.15288e+11,3,1.15288e+13,1152880203,NA,NA,3,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000500,74,"4:18",19,NA,NA,NA,"0:37","","","","4:55",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_110",4210160000,42101980000,1034,1.17,15,10.233063,1.324396,477.8006584
"29",1644,115291,1,11529101,249.0046337,102.331662,1,NA,1.15291e+11,1,1.15291e+13,1152910101,NA,NA,1,6,2,1,1,42,1,42101,"101_112",4210160000,42101004001,819,"",1,NA,NA,NA,"0:00","","","","7:00",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101037600,131,1.17,20,23.645837,2.849743,119.7280445
"30",1645,115291,1,11529101,249.0046337,102.331662,1,NA,1.15291e+11,2,1.15291e+13,1152910102,NA,NA,1,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101037600,131,"7:20",19,NA,NA,NA,"0:15","","","","8:00",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,42,1,42101,"101_103",4210160000,42101036700,126,1.17,25,13.491022,0.937333,119.7280445
