record_id,sample,HH_ID,PERSON_NUM,mode,o_taz,d_taz,restore_average_min,cut_average_min,delta_min,TOUR_TYPE,TOUR_NUM,TRIP_NUM,O_LOC_TYPE,D_LOC_TYPE,ACTIV1,PARTY,MODE,MODE_AGG,TripFactor,CompositeWeight,P_WEIGHT,P_TOT_TRIPS,GEND,AGECAT,RACE,EDUCA,LIC,EMPLY,WK_STAT,JOBS,HOURS,OCCUP,WK_MODE,TCOMM,PARK_SUB,TRAN_SUB,STUDE,T_TRIP,TAP,HH_WEIGHT,H_COUNTY,H_TAZ,A_TYPE,HH_SIZE,HH_WORK,TOT_VEH,OP_VEH,TOT_BIKE,CAR_SHARE,RES_TYPE,INCOME,female,age_cat,age_65plus,race_cat,college_deg,has_license,employed,student,transit_trips_wk,transit_subsidy,income_k,low_income,hh_size,hh_workers,hh_vehicles,area_type,work_tour,home_based,zero_veh_hh,veh_per_adult
1152910101,"bus_subway_trolley",115291,1,"Bus / trolleybus",819,131,30.002,30.269,0.267,1,1,1,1,4,1,NA,14,5,1.17,119.7280445,102.331662,7,2,9,988,1,2,1,NA,1,32,41,4,0,3,2,3,10,NA,249.0046337,42101,819,3,1,1,0,0,0,2,1,2,1,9,0,NA,0,0,1,0,10,0,17.5,1,1,1,0,"urban",1,1,1,0
1152910102,"bus_subway_trolley",115291,1,"Bus / trolleybus",131,126,22.163,24.454,2.292,1,1,2,4,2,19,NA,14,5,1.17,119.7280445,102.331662,7,2,9,988,1,2,1,NA,1,32,41,4,0,3,2,3,10,NA,249.0046337,42101,819,3,1,1,0,0,0,2,1,2,1,9,0,NA,0,0,1,0,10,0,17.5,1,1,1,0,"urban",1,1,1,0
1152910104,"bus_subway_trolley",115291,1,"Bus / trolleybus",126,131,25.481,24.656,-0.825,1,1,4,4,4,19,NA,14,5,1.17,119.7280445,102.331662,7,2,9,988,1,2,1,NA,1,32,41,4,0,3,2,3,10,NA,249.0046337,42101,819,3,1,1,0,0,0,2,1,2,1,9,0,NA,0,0,1,0,10,0,17.5,1,1,1,0,"urban",1,1,1,0
1158850101,"bus_subway_trolley",115885,1,"Subway / El",1027,106,32.567,34.317,1.75,2,1,1,1,4,1,NA,21,5,1.12,156.1850273,139.4509172,4,1,10,988,6,1,2,1,NA,NA,NA,NA,NA,NA,NA,2,6,NA,200.8865098,42101,1023,3,3,1,2,2,3,2,2,7,0,10,1,NA,1,1,0,1,6,NA,125,0,3,1,2,"urban",0,1,0,0.666666666666667
1158850102,"bus_subway_trolley",115885,1,"Subway / El",106,1027,34.35,35.333,0.983,2,1,2,4,1,13,NA,21,5,1.12,156.1850273,139.4509172,4,1,10,988,6,1,2,1,NA,NA,NA,NA,NA,NA,NA,2,6,NA,200.8865098,42101,1023,3,3,1,2,2,3,2,2,7,0,10,1,NA,1,1,0,1,6,NA,125,0,3,1,2,"urban",0,1,0,0.666666666666667
1164850102,"bus_subway_trolley",116485,1,"Subway / El",134,1019,29.854,30.417,0.562,2,1,2,4,4,19,NA,21,5,1.13,99.5579043,88.10434009,7,2,5,1,5,1,2,6,NA,NA,NA,NA,NA,NA,NA,1,11,NA,92.10524045,42101,137,3,1,0,0,0,1,1,5,99,1,5,0,"white",1,1,0,1,11,NA,NA,NA,1,0,0,"urban",0,1,1,0
1164850105,"bus_subway_trolley",116485,1,"Subway / El",1030,60,15.417,14.808,-0.608,2,1,5,4,4,2,NA,21,5,1.13,99.5579043,88.10434009,7,2,5,1,5,1,2,6,NA,NA,NA,NA,NA,NA,NA,1,11,NA,92.10524045,42101,137,3,1,0,0,0,1,1,5,99,1,5,0,"white",1,1,0,1,11,NA,NA,NA,1,0,0,"urban",0,1,1,0
1165490101,"bus_subway_trolley",116549,1,"Bus / trolleybus",141,1418,37.481,40.663,3.181,2,1,1,1,1,1,NA,14,5,1.17,133.9088266,114.4519886,2,2,5,1,6,1,1,NA,1,8,25,4,0,2,1,1,14,NA,443.9604921,42101,141,3,1,1,0,0,1,2,4,3,1,5,0,"white",1,1,1,1,14,1,30,1,1,1,0,"urban",0,1,1,0
1165490102,"bus_subway_trolley",116549,1,"Bus / trolleybus",1418,141,35.085,38.504,3.419,2,1,2,1,1,11,NA,14,5,1.17,133.9088266,114.4519886,2,2,5,1,6,1,1,NA,1,8,25,4,0,2,1,1,14,NA,443.9604921,42101,141,3,1,1,0,0,1,2,4,3,1,5,0,"white",1,1,1,1,14,1,30,1,1,1,0,"urban",0,1,1,0
1165660101,"bus_subway_trolley",116566,1,"Bus / trolleybus",142,10010,46.204,49.233,3.029,1,1,1,1,2,1,NA,14,5,1.12,112.436437,100.3896759,2,1,6,1,6,1,1,NA,1,40,15,4,1,3,2,3,10,NA,172.1268987,42101,142,3,2,2,0,0,3,1,2,7,0,6,0,"white",1,1,1,0,10,0,125,0,2,2,0,"urban",1,1,1,0
1165660201,"bus_subway_trolley",116566,2,"Bus / trolleybus",140,1030,32.737,34.104,1.367,1,1,1,1,2,1,NA,14,5,1.12,108.5508336,96.92038715,2,2,6,1,6,1,1,NA,1,40,29,4,0,1,2,3,10,NA,172.1268987,42101,142,3,2,2,0,0,3,1,2,7,1,6,0,"white",1,1,1,0,10,0,125,0,2,2,0,"urban",1,1,1,0
1169120102,"bus_subway_trolley",116912,1,"Bus / trolleybus",431,78,34.625,37.369,2.744,3,1,2,4,4,19,NA,14,5,1.17,114.4185032,97.7935925,10,2,10,988,5,2,2,1,NA,NA,NA,NA,NA,NA,NA,3,10,NA,228.4384878,42101,430,3,1,0,0,0,0,2,2,2,1,10,1,NA,1,0,0,0,10,NA,17.5,1,1,0,0,"urban",0,0,1,0
1169120103,"bus_subway_trolley",116912,1,"Bus / trolleybus",78,55,11.958,13.581,1.623,3,1,3,4,4,19,NA,14,5,1.17,114.4185032,97.7935925,10,2,10,988,5,2,2,1,NA,NA,NA,NA,NA,NA,NA,3,10,NA,228.4384878,42101,430,3,1,0,0,0,0,2,2,2,1,10,1,NA,1,0,0,0,10,NA,17.5,1,1,0,0,"urban",0,0,1,0
