record_id,person_id,journey_id,trip_num,mode,rr_role,depart_time,depart_min_of_day,depart_lon,depart_lat,dest_lon,dest_lat,o_county,d_county,peak_period,is_peak,survey_travtime,model_travtime,tt_cut_mean_min,tt_cut_sd_min,tt_cut_n_ok,tt_restore_mean_min,tt_restore_sd_min,tt_restore_n_ok
3038880104,30388801,3278,4,22,rail_leg,16:37,997,-75.1947508247048,40.0550864009275,-75.1648345113326,39.9541020155151,42101,42101,pm_peak,TRUE,33,42.670002,51.6166666666667,6.72415687757846,8,53.1166666666667,6.48624919128371,8
3068390302,30683903,3753,2,22,rail_leg,8:41,521,-75.2227705952579,40.1527379939727,-75.1545851492175,39.9813757258968,42091,42101,am_peak,TRUE,23,39.996098,69.2916666666667,19.6355181095018,8,69.5416666666667,18.7421412101941,8
3068390304,30683903,3754,4,22,rail_leg,19:30,1170,-75.1480260525691,39.9820906148628,-75.2227705952579,40.1527379939727,42101,42091,off_peak,FALSE,40,36.536966,60.1333333333333,18.1835875762419,8,61.6333333333333,17.4622040827775,8
3125270202,31252702,4811,2,22,rail_leg,11:28,688,-75.112010204855,40.0551558806353,-75.1834073455283,39.9599979498596,42091,42101,off_peak,FALSE,31,46.191884,75.4395833333333,5.9317810803935,8,67.2770833333333,4.92280841174326,8
3151800102,31518001,5336,2,22,rail_leg,17:30,1050,-75.2227705952579,40.1527379939727,-75.1704674139331,39.9548009865238,42091,42101,pm_peak,TRUE,45,50.672966,82.5375,17.3965051909038,8,63.3479166666667,15.5191137590095,8
3161510201,31615102,5431,1,22,rail_leg,6:30,390,-75.1894072133033,40.0670899916203,-75.1648345113326,39.9541020155151,42101,42101,am_peak,TRUE,40,40.553938,56.01875,6.46137140524424,8,50.64375,7.09140401561626,8
3185920104,31859201,5841,4,22,rail_leg,16:35,995,-75.1625826795934,39.9513495936779,-75.1588750233838,39.9528401835985,42101,42101,pm_peak,TRUE,10,7.666667,8.18958333333333,1.56904423187726,8,7.3625,1.06925838414459,8
3212130101,32121301,6241,1,22,rail_leg,6:30,390,-75.061570967779,40.1151744640308,-75.1687160134156,39.9558364756335,42091,42101,am_peak,TRUE,45,43.381023,75.7666666666667,12.2341734498085,6,69.1083333333333,13.9270406159191,8
3212130102,32121301,6242,2,22,rail_leg,16:47,1007,-75.1687160134156,39.9558364756335,-75.061570967779,40.1151744640308,42101,42091,pm_peak,TRUE,29,41.369717,69.7729166666667,10.3696976793115,8,63.9083333333333,12.5007142653073,8
3271390101,32713901,7404,1,22,rail_leg,6:05,365,-75.1161007447157,40.1433714101826,-75.1694605873533,39.9520071435649,42091,42101,am_peak,TRUE,70,59.050805,64.0458333333333,6.44689386264351,8,62.1916666666667,4.12349058482915,8
3271630304,32716303,7428,4,22,rail_leg,17:34,1054,-75.1648345113326,39.9541020155151,-75.3393886203709,40.0346462639254,42101,42045,pm_peak,TRUE,26,33.295487,49.5916666666667,3.32588453445214,8,50.5916666666667,8.22681928545629,8
3282960102,32829601,7679,2,22,rail_leg,8:27,507,-75.2344133789046,40.0088074073246,-75.1648345113326,39.9541020155151,42091,42101,am_peak,TRUE,19,26.069263,,,0,49.7666666666667,14.3199051162947,8
3282960105,32829601,7680,5,22,rail_leg,17:16,1036,-75.1677276497158,39.9525760413027,-75.1677276497158,39.9525760413027,42101,42101,pm_peak,TRUE,20,3.527778,10.5583333333333,3.73639330379377,8,8.4875,2.26879714302325,8
3285590201,32855902,7717,1,22,rail_leg,7:00,420,-75.4182346685475,40.0646607683914,-75.1652507511981,39.9564326348413,42029,42101,am_peak,TRUE,42,71.138005,127.446666666667,11.3844582167483,5,101.69,12.1561918379071,5
3285590202,32855902,7718,2,22,rail_leg,17:30,1050,-75.1652507511981,39.9564326348413,-75.4233197162045,40.0419674851349,42101,42029,pm_peak,TRUE,0,44.695535,74.7833333333333,10.1910324725782,8,61.1583333333333,10.8947890558481,8
