record_id,depart_time,depart_min_of_day,depart_lon,depart_lat,dest_lon,dest_lat,peak_period,is_peak,survey_travtime,model_travtime,tt_cut_min,tt_restore_min,tt_cut_mean_min,tt_cut_sd_min,tt_cut_n_ok,tt_restore_mean_min,tt_restore_sd_min,tt_restore_n_ok
1145550101,6:15,375,-75.1516301589525,39.9168650559185,-75.1634808483634,39.9480403151119,am_peak,TRUE,45,23.088364,36.2666666666667,37.9,32.5229166666667,5.54613362751798,8,29.325,4.97612554070186,8
1147360206,18:30,1110,-75.1845576169885,39.942839888606,-75.1707168478523,39.9055458817612,pm_peak,TRUE,30,35.943303,40.6,38.6,46.0041666666667,8.03376184393584,8,51.49375,10.3345849376418,8
1148770102,17:00,1020,-75.1595117962634,39.9367714452714,-75.1977262540913,39.9594259908695,pm_peak,TRUE,0,32.833769,49.4,42.4,43.0791666666667,5.19634906937493,8,40.15,5.66946709513841,8
1149340203,18:42,1122,-75.1973968654904,39.9505033966507,-75.1638872349499,39.9525548857932,pm_peak,TRUE,12,14.850566,14.95,11.9666666666667,13.6270833333333,2.21196130559744,8,12.5958333333333,1.71801264847424,8
1149340204,19:00,1140,-75.1638872349499,39.9525548857932,-75.1655746637264,39.9307064691021,off_peak,FALSE,8,12.638667,17.4833333333333,12.4833333333333,17.4833333333333,2.7902892835178,8,17.1083333333333,3.56320481749626,8
1150140102,6:53,413,-75.1655746637264,39.9307064691021,-75.1649773922386,39.9502186753736,am_peak,TRUE,7,11.779301,24.3166666666667,24.3166666666667,21.6291666666667,4.32135478095205,8,22.7166666666667,3.72489479983546,8
1150140109,17:46,1066,-75.1634808483634,39.9480403151119,-75.1655746637264,39.9307064691021,pm_peak,TRUE,9,12.628112,13.4833333333333,19.4833333333333,17.4833333333333,1.22474487139159,8,20.75625,4.31386595574399,8
1150140205,18:13,1093,-75.1655746637264,39.9307064691021,-75.1593108938158,39.9400078893569,pm_peak,TRUE,17,11.918324,21.1,27.9,23.85,4.28952211790544,8,25.1,5.31440092041024,8
1150140206,21:15,1275,-75.1593108938158,39.9400078893569,-75.1655746637264,39.9307064691021,off_peak,FALSE,15,11.926381,19.4333333333333,36.4333333333333,24.9125,6.31635411967057,8,28.1895833333333,9.50076829600037,8
1152880202,4:03,243,-75.1662120144978,39.9238115855567,-75.1638872349499,39.9525548857932,off_peak,FALSE,15,14.632857,60.8833333333333,51.3333333333333,45.0880952380952,13.326327028236,7,41.3357142857143,9.86071248914858,7
1152880203,4:55,295,-75.1638872349499,39.9525548857932,-75.1847348588828,39.9565152107181,off_peak,FALSE,15,10.233063,16.3333333333333,16.3333333333333,15.8604166666667,4.08576640340274,8,15.8604166666667,4.08576640340274,8
1152910101,7:00,420,-75.1662120144978,39.9238115855567,-75.1583275844786,39.9602029183105,am_peak,TRUE,20,23.645837,34.3,34.3,30.26875,2.81398770177026,8,30.0020833333333,2.0827225295081,8
1152910102,8:00,480,-75.1583275844786,39.9602029183105,-75.1461838934269,39.9589037110814,am_peak,TRUE,25,13.491022,27.3166666666667,22.2166666666667,24.4541666666667,3.10908487020839,8,22.1625,4.15222019402663,8
1152910104,16:15,975,-75.1461838934269,39.9589037110814,-75.1583275844786,39.9602029183105,pm_peak,TRUE,15,13.533333,24.6666666666667,21.9166666666667,24.65625,4.70975800190497,8,25.48125,4.18184319409516,8
1158850101,9:15,555,-75.2165947836222,39.9537421538695,-75.1489215256524,39.95458250175,am_peak,TRUE,32,25.852956,30.3166666666667,33.3166666666667,34.3166666666667,4.81812055829716,8,32.5666666666667,4.58257569495584,8
1158850102,11:17,677,-75.1489215256524,39.95458250175,-75.2165947836222,39.9537421538695,off_peak,FALSE,28,25.634873,36.3333333333333,32.4666666666667,35.3333333333333,3.67423461417477,8,34.35,3.00908676754313,8
