"record_id","person_id","journey_id","trip_num","mode","rr_role","depart_time","depart_min_of_day","depart_lon","depart_lat","dest_lon","dest_lat","o_county","d_county","peak_period","is_peak","survey_travtime","model_travtime"
3531220102,35312201,11881,2,22,"rail_leg","17:25",1045,-75.1779217463161,39.9533873770951,-75.4630660144789,40.0474160739304,42101,42029,"pm_peak",TRUE,110,46.637494
3565060101,35650601,12536,1,22,"rail_leg","9:30",570,-75.1813387898497,40.0295103180276,-75.173930383129,39.954707841715,42101,42101,"off_peak",FALSE,60,30.031529
3568880102,35688801,12619,2,22,"rail_leg","9:16",556,-74.9853265543148,40.0477525065309,-75.1928742171467,39.9459041130135,42101,42101,"am_peak",TRUE,50,42.914459
3568880103,35688801,12619,3,14,"feeder_leg","11:45",705,-75.1928742171467,39.9459041130135,-75.1588750233838,39.9528401835985,42101,42101,"off_peak",FALSE,25,24.491364
3568880202,35688802,12623,2,22,"rail_leg","9:16",556,-74.9853265543148,40.0477525065309,-75.1928742171467,39.9459041130135,42101,42101,"am_peak",TRUE,48,42.914459
3568880203,35688802,12623,3,14,"feeder_leg","11:45",705,-75.1928742171467,39.9459041130135,-75.1588750233838,39.9528401835985,42101,42101,"off_peak",FALSE,25,24.491364
3574140203,35741402,12735,3,22,"rail_leg","6:58",418,-75.5182227312107,40.0361776802347,-75.1588750233838,39.9528401835985,42029,42101,"am_peak",TRUE,48,52.859265
3613500206,36135002,13374,6,22,"rail_leg","16:00",960,-75.1612826317197,39.9532127364358,-75.1612826317197,39.9532127364358,42101,42101,"pm_peak",TRUE,NA,4.127778
3634880201,36348802,13657,1,22,"rail_leg","8:05",485,-75.2784887557887,39.9397339356879,-75.1682068169821,39.957491721513,42045,42101,"am_peak",TRUE,NA,42.453796
3637010102,36370101,13716,2,22,"rail_leg","7:43",463,-75.4829079089365,40.0451966969818,-75.1834073455283,39.9599979498596,42029,42101,"am_peak",TRUE,42,37.682509
3664520104,36645201,14379,4,22,"rail_leg","16:40",1000,-75.4829079089365,40.0451966969818,-75.1588750233838,39.9528401835985,42029,42101,"pm_peak",TRUE,45,58.610662
3703190201,37031902,15178,1,22,"rail_leg","19:30",1170,-75.1268140035489,40.0819703941513,-75.1659426772114,39.9531940428398,42091,42101,"off_peak",FALSE,NA,47.055049
3772110201,37721102,16231,1,22,"rail_leg","7:18",438,-75.2997775853713,39.939031243255,-75.1632627264191,39.9610182840982,42045,42101,"am_peak",TRUE,42,54.401493
3772110202,37721102,16232,2,22,"rail_leg","16:45",1005,-75.1632627264191,39.9610182840982,-75.2997775853713,39.939031243255,42101,42045,"pm_peak",TRUE,45,47.925501
3775560104,37755601,16293,4,22,"rail_leg","12:35",755,-75.3170969015922,40.0208081125859,-75.263745391218,39.9965055434734,42091,42091,"off_peak",FALSE,5,24.140791
3782060202,37820602,16456,2,22,"rail_leg","8:30",510,-75.3195257705183,40.0049815590517,-75.1648345113326,39.9541020155151,42045,42101,"am_peak",TRUE,15,46.003463
3782060205,37820602,16457,5,22,"rail_leg","17:14",1034,-75.1634808483634,39.9480403151119,-75.1634808483634,39.9480403151119,42101,42101,"pm_peak",TRUE,26,3.958333
3797000102,37970001,16662,2,22,"rail_leg","16:45",1005,-75.1648345113326,39.9541020155151,-75.6982311138271,40.0135155865065,42101,42029,"pm_peak",TRUE,65,91.536477
3830520202,38305202,17383,2,22,"rail_leg","6:51",411,-75.1531176077862,40.0998645962702,-75.1648345113326,39.9541020155151,42091,42101,"am_peak",TRUE,151,35.407063
3862330102,38623301,17935,2,22,"rail_leg","16:30",990,-75.1517226930339,39.9485721389241,-74.9399477360023,40.1745544172025,42101,42017,"pm_peak",TRUE,450,78.696143
3884280202,38842802,18293,2,22,"rail_leg","6:19",379,-75.2823535717739,40.2437347422191,-75.1941152941134,39.9546263068532,42091,42101,"am_peak",TRUE,62,71.339909
