"ID","HH_ID","PERSON_NUM","PERSON_ID","HH_WEIGHT","P_WEIGHT","TOUR_NUM","WKSUB_NUM","WKSUB_ID","TRIP_NUM","TRIP_ID","RECORD_ID","NOGO","WHYNO","TOUR_TYPE","TOUR_STOPS","START_TRAV","O_LOC_TYPE","O_GEO_ACC","O_STATE","O_REGION","O_COUNTY","O_CPA","O_MCD","O_TRACT","O_TAZ","ARRIVE","ACTIV1","ACTIV2","ACTIV3","ACTIV4","ACT_DUR1","ACT_DUR2","ACT_DUR3","ACT_DUR4","DEPART","MODE","MODE_AGG","PARTY","HH_MEM","HH_PER_NUM1","HH_PER_NUM2","HH_PER_NUM3","HH_PER_NUM4","HH_PER_NUM5","HH_PER_NUM6","DRVER","VEH_NUM","USE_TOLL","TOLL_RD1","TOLL_RD2","TOLL_RD3","TOLL_RD4","TOLL_RD5","TOLL_B1","TOLL_B2","TOLL_B3","TOLL_B4","TOLL_B5","TOLL_B6","TOLL_B7","TOLL_B8","TOLL_B9","PARK_AT","PARK_TRAV","PARK_PAY","PARK_COST","PARK_UNIT","D_LOC_TYPE","D_GEO_ACC","D_STATE","D_REGION","D_COUNTY","D_CPA","D_MCD","D_TRACT","D_TAZ","TripFactor","Survey_TravTime","Model_TravTime","Model_TravDist","CompositeWeight","DEPART_HOUR","DEPART_MIN","DEPART_MIN_OF_DAY","TRAV_DOW","TRAV_DATE","HOLIDAY","HOL_TYPE","depart_lon","depart_lat","dest_lon","dest_lat","depart_point","dest_point"
1628,115014,2,11501402,191.4884327,100.3896759,2,NA,1.15014e+11,6,1.15014e+13,1150140206,NA,NA,2,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101001800,5,"18:30",13,NA,NA,NA,"2:45","","","","21:15",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,42,1,42101,"101_112",4210160000,42101002900,834,1.12,15,11.926381,0.969401,112.436437,21,15,1275,4,"9/27/2012","",0,-75.1593108938158,39.9400078893569,-75.1655746637264,39.9307064691021,"POINT (-75.159311 39.940008)","POINT (-75.165575 39.930706)"
1634,115288,2,11528802,202.8848881,408.3766311,1,NA,1.15288e+11,2,1.15288e+13,1152880202,NA,NA,3,NA,NA,4,1,42,1,42101,"101_112",4210160000,42101004001,819,"3:45",19,NA,NA,NA,"0:18","","","","4:03",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000500,74,1.17,15,14.632857,2.230739,477.8006584,4,3,243,4,"8/9/2012","",0,-75.1662120144978,39.9238115855567,-75.1638872349499,39.9525548857932,"POINT (-75.166212 39.923812)","POINT (-75.163887 39.952555)"
1635,115288,2,11528802,202.8848881,408.3766311,1,NA,1.15288e+11,3,1.15288e+13,1152880203,NA,NA,3,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000500,74,"4:18",19,NA,NA,NA,"0:37","","","","4:55",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_110",4210160000,42101980000,1034,1.17,15,10.233063,1.324396,477.8006584,4,55,295,4,"8/9/2012","",0,-75.1638872349499,39.9525548857932,-75.1847348588828,39.9565152107181,"POINT (-75.163887 39.952555)","POINT (-75.184735 39.956515)"
1644,115291,1,11529101,249.0046337,102.331662,1,NA,1.15291e+11,1,1.15291e+13,1152910101,NA,NA,1,6,2,1,1,42,1,42101,"101_112",4210160000,42101004001,819,"",1,NA,NA,NA,"0:00","","","","7:00",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101037600,131,1.17,20,23.645837,2.849743,119.7280445,7,0,420,5,"8/3/2012","",0,-75.1662120144978,39.9238115855567,-75.1583275844786,39.9602029183105,"POINT (-75.166212 39.923812)","POINT (-75.158328 39.960203)"
1645,115291,1,11529101,249.0046337,102.331662,1,NA,1.15291e+11,2,1.15291e+13,1152910102,NA,NA,1,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101037600,131,"7:20",19,NA,NA,NA,"0:15","","","","8:00",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,42,1,42101,"101_103",4210160000,42101036700,126,1.17,25,13.491022,0.937333,119.7280445,8,0,480,5,"8/3/2012","",0,-75.1583275844786,39.9602029183105,-75.1461838934269,39.9589037110814,"POINT (-75.158328 39.960203)","POINT (-75.146184 39.958904)"
1647,115291,1,11529101,249.0046337,102.331662,1,NA,1.15291e+11,4,1.15291e+13,1152910104,NA,NA,1,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101036700,126,"15:35",19,NA,NA,NA,"0:40","","","","16:15",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101037600,131,1.17,15,13.533333,0.941377,119.7280445,16,15,975,5,"8/3/2012","",0,-75.1461838934269,39.9589037110814,-75.1583275844786,39.9602029183105,"POINT (-75.146184 39.958904)","POINT (-75.158328 39.960203)"
1664,115885,1,11588501,200.8865098,139.4509172,1,NA,1.15885e+11,1,1.15885e+13,1158850101,NA,NA,2,1,2,1,1,42,1,42101,"101_110",4210160000,42101008601,1027,"",1,NA,NA,NA,"6:15","","","","9:15",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000100,106,1.12,32,25.852956,4.19364,156.1850273,9,15,555,3,"8/1/2012","",0,-75.2165947836222,39.9537421538695,-75.1489215256524,39.95458250175,"POINT (-75.216595 39.953742)","POINT (-75.148922 39.954583)"
1665,115885,1,11588501,200.8865098,139.4509172,1,NA,1.15885e+11,2,1.15885e+13,1158850102,NA,NA,2,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000100,106,"9:47",13,NA,NA,NA,"1:30","","","","11:17",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,42,1,42101,"101_110",4210160000,42101008601,1027,1.12,28,25.634873,4.175721,156.1850273,11,17,677,3,"8/1/2012","",0,-75.1489215256524,39.95458250175,-75.2165947836222,39.9537421538695,"POINT (-75.148922 39.954583)","POINT (-75.216595 39.953742)"
1706,116485,1,11648501,92.10524045,88.10434009,1,NA,1.16485e+11,2,1.16485e+13,1164850102,NA,NA,2,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101012500,134,"11:36",19,NA,NA,NA,"0:05","","","","11:41",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_110",4210160000,42101036900,1019,1.13,16,24.814879,2.097378,99.5579043,11,41,701,4,"9/20/2012","",0,-75.1632627264191,39.9610182840982,-75.1869128860449,39.9502197402395,"POINT (-75.163263 39.961018)","POINT (-75.186913 39.950220)"
1709,116485,1,11648501,92.10524045,88.10434009,1,NA,1.16485e+11,5,1.16485e+13,1164850105,NA,NA,2,NA,NA,4,1,42,1,42101,"101_110",4210160000,42101036900,1030,"17:01",2,NA,NA,NA,"0:40","","","","17:41",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000700,60,1.13,16,14.35978,1.764623,99.5579043,17,41,1061,4,"9/20/2012","",0,-75.1941152941134,39.9546263068532,-75.1673585815214,39.9505151310837,"POINT (-75.194115 39.954626)","POINT (-75.167359 39.950515)"
